"id","created_at","name","has_test","alternate_url"
"116880559","2025-02-07T09:42:27+0300","Стажер Data Scientist",false,"https://hh.ru/vacancy/116880559"
"116604182","2025-01-31T12:52:47+0300","ML-инженер (Junior Data Scientist)",false,"https://hh.ru/vacancy/116604182"
"116807352","2025-02-05T15:44:49+0300","Data Scientist, Лимасол",false,"https://hh.ru/vacancy/116807352"
"116837495","2025-02-06T12:29:59+0300","Data Scientist",false,"https://hh.ru/vacancy/116837495"
"115928521","2025-02-03T13:41:23+0300","Стажер Data scientist",false,"https://hh.ru/vacancy/115928521"
"116041459","2025-02-05T22:28:08+0300","Junior Data Scientist / ML-engineer",false,"https://hh.ru/vacancy/116041459"
"116824305","2025-02-06T08:46:34+0300","Data Аналитик/Data scientist по ИИ-проектам",false,"https://hh.ru/vacancy/116824305"
"116477668","2025-01-28T18:17:30+0300","Data Scientist",false,"https://hh.ru/vacancy/116477668"
"116684708","2025-02-03T08:40:26+0300","Data Scientist / Специалист в области машинного обучения",false,"https://hh.ru/vacancy/116684708"
"116895547","2025-02-07T12:40:27+0300","Специалист Data Scientist",false,"https://hh.ru/vacancy/116895547"
"116895546","2025-02-07T12:40:27+0300","Специалист Data Scientist",false,"https://hh.ru/vacancy/116895546"
"116112486","2025-01-22T20:29:40+0300","Data Scientist",false,"https://hh.ru/vacancy/116112486"
"116831059","2025-02-06T10:45:30+0300","Data Scientist",false,"https://hh.ru/vacancy/116831059"
"116718851","2025-02-03T16:44:32+0300","ML-аналитик/Data Scientist",false,"https://hh.ru/vacancy/116718851"
"116885241","2025-02-07T10:35:06+0300","Data Scientist (Yappy)",false,"https://hh.ru/vacancy/116885241"
"115953858","2025-01-20T18:08:55+0300","Junior NLP, LLM Data Scientist (блок ""Сеть Продаж"")",false,"https://hh.ru/vacancy/115953858"
"115999994","2025-01-21T11:43:57+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/115999994"
"112567531","2025-02-08T07:38:35+0300","Data Scientist в области языковых моделей (Junior)",false,"https://hh.ru/vacancy/112567531"
"112763125","2025-01-17T11:19:10+0300","Младший специалист по анализу данных / Junior Data Scientist",false,"https://hh.ru/vacancy/112763125"
"114020524","2025-01-31T17:34:45+0300","Junior Data Scientist/MLE",false,"https://hh.ru/vacancy/114020524"
