"id","created_at","name","has_test","alternate_url"
"115928521","2025-02-09T03:17:44+0300","-","false","https://hh.ru/vacancy/115928521"
"117125086","2025-02-12T09:13:42+0300","-","false","https://hh.ru/vacancy/117125086"
"117336243","2025-02-17T10:48:23+0300","Junior","false","https://hh.ru/vacancy/117336243"
"117371174","2025-02-17T16:06:01+0300","-","true","https://hh.ru/vacancy/117371174"
"117174185","2025-02-21T11:04:22+0300","-","false","https://hh.ru/vacancy/117174185"
"117558942","2025-02-21T12:24:58+0300","Junior","false","https://hh.ru/vacancy/117558942"
"117649268","2025-02-24T17:13:05+0300","-","false","https://hh.ru/vacancy/117649268"
"117666474","2025-02-25T09:35:51+0300","-","false","https://hh.ru/vacancy/117666474"
"117666758","2025-02-25T09:39:32+0300","-","false","https://hh.ru/vacancy/117666758"
"117686643","2025-02-25T14:09:35+0300","-","false","https://hh.ru/vacancy/117686643"
"114020524","2025-02-26T08:30:52+0300","Junior","false","https://hh.ru/vacancy/114020524"
"117720796","2025-02-26T09:52:45+0300","-","false","https://hh.ru/vacancy/117720796"
"117724548","2025-02-26T10:36:10+0300","-","false","https://hh.ru/vacancy/117724548"
"117747850","2025-02-26T16:02:57+0300","-","false","https://hh.ru/vacancy/117747850"
"117766611","2025-02-27T08:07:16+0300","Junior","false","https://hh.ru/vacancy/117766611"
"117152095","2025-02-27T15:08:30+0300","Junior","false","https://hh.ru/vacancy/117152095"
"116880559","2025-02-28T09:42:27+0300","-","false","https://hh.ru/vacancy/116880559"
"117464807","2025-02-28T10:41:40+0300","-","false","https://hh.ru/vacancy/117464807"
"117685818","2025-02-28T13:56:06+0300","Junior","false","https://hh.ru/vacancy/117685818"
"117841087","2025-02-28T16:45:56+0300","-","false","https://hh.ru/vacancy/117841087"
